# Bilibili 直播转写
录制时间: 2026-05-06 17:59:33
========================================

[00:00] 他守身如玉二十年
[00:01] 只为把完整的自己
[00:02] 交给暗恋已久的花花公子
[00:05] 终于在毕业这晚
[00:06] 微轩的男孩被他带回了家
[00:08] 德克斯已经躁动难耐
[00:10] 可他却激动地躲进卫生间
[00:12] 试图平复这剧烈的心跳
[00:14] 等他终于决定放下矜持
[00:16] 羞涩地推开门时
[00:18] 德克斯却已经穿好了裤子
[00:20] 看着艾玛紧张地发颤的身体
[00:29] 德克斯第一次收起了轻辅
[00:31] 相比于其他人的头怀送抱
[00:33] 艾玛的笨拙
[00:34] 竟然他产生了一丝不忍
[00:36] 德克斯确实被艾玛吸引了
[00:49] 那种最廉价
[00:50] 也最陌生的认真
[00:52] 恰恰是他不敢触碰的东西
[00:54] 他舍不得伤害艾玛
[00:55] 但是做朋友
[00:57] 也是最狡猾的中间地带
[00:59] 为了保持联系
[01:00] 两人立下了约定
[01:01] 往后每年的今天
[01:02] 他们都直属于彼此
[01:04] 无论身在何地
[01:06] 一年后
[01:07] 两人第一次旅行约定
[01:09] 他帮艾玛搬进新家
[01:10] 虽然公寓又破又小
[01:12] 但他却满眼期待
[01:13] 不安分的德克斯
[01:14] 决定去印度寻找自我
[01:16] 临走前
[01:17] 还叮嘱艾玛要常联系
[01:19] 他心中窃喜
[01:20] 以为只要这样
[01:21] 就能够日久生情
[01:23] 但生活
[01:24] 很快就给了他一记
[01:25] 响亮的耳光
[01:26] 成为作家的梦
[01:28] 石沉大海
[01:28] 搞见无人问津
[01:30] 为了活下去
[01:31] 他只能委屈在小餐馆
[01:33] 困在油烟
[01:33] 和中年男人的目光里
[01:35] 记情被一点点消磨
[01:50] 高强度的生活
[01:51] 压得他喘不过气
[01:53] 他打电话
[01:54] 想向德克斯倾诉
[01:55] 但那一边
[01:56] 永远都是敷衍
[01:57] 和奇怪的声音
[01:58] 话还没说完
[02:00] 电话就被挂断
[02:01] 他只能对着空话筒
[02:02] 说出了那句
[02:03] 德克斯顺急了
[02:07] 走到哪儿
[02:08] 都从不缺女人
[02:09] 父母宠着他
[02:10] 纵容他每日花天酒地
[02:12] 他的人生
[02:13] 就像一场
[02:14] 不用买单的派对
[02:15] 所有人都在为他鼓掌
[02:16] 但没人告诉他
[02:18] 这些掌声
[02:19] 迟早是要还的
[02:20] 他不会在意
[02:22] 爱马每天
[02:22] 要洗多少个盘子
[02:24] 甚至就连
[02:25] 一年一次的约定
[02:26] 他都当着爱马的面
[02:27] 和别人挑起了情
[02:29] 他扭过头
[02:30] 像站在另一个世界
[02:31] 深爱的人
[02:32] 就在眼前放松
[02:33] 可他却连吃醋的资格都没有
[02:36] 朋友
[02:36] 多么讽刺的死
[02:38] 一年不见
[02:47] 他换人的速度
[02:48] 比换衬衫还快
[02:50] 爱马也没闲着
[02:51] 除了坚持作家的梦
[02:52] 还升职成了餐厅经理
[02:54] 但德克斯知道
[02:55] 这不是他想要的
[02:57] 他不该在这里浪费才华
[02:59] 眼前这个锅满油渣和酒气的女人
[03:02] 与记忆
[03:03] 要当作家的小女孩
[03:04] 简直天壤之别
[03:06] 虽然自己完事不公
[03:07] 但他还是希望
[03:08] 能把最好的带给爱马
[03:11] 于是他暗自决定
[03:12] 明年的今天
[03:13] 一定要帮他找回自信
[03:15] 当用进怀里的那一刻
[03:17] 他闻到了衬衫上
[03:19] 别人的香水味
[03:20] 但还是贪恋
[03:21] 那几秒的温存
[03:22] 好在1992年的7月15日
[03:25] 德克斯还是如约的
[03:27] 安排了一场完美的旅行
[03:29] 爱马郑重的约法三章
[03:31] 不裸体
[03:32] 不调情
[03:32] 就最后要分房睡
[03:34] 德克斯虽然没有反驳
[03:36] 但也完全没放在心上
[03:38] 爱马并没有很反感
[03:46] 甚至希望他别停下来
[03:48] 与其说是被两人立下的规矩
[03:50] 倒不如说是他最期待的事
[03:53] 那晚酒吧灯光昏暗
[03:58] 两人把这几年的情愫
[04:00] 克制全都说了出来
[04:02] 德克斯微微一笑
[04:04] 然后将他带到了海边
[04:05] 趁着四下无人
[04:06] 德克斯退去衣服
[04:08] 率先打破了第一条约定
[04:10] 这是德克斯最擅长的事
[04:26] 不给承诺
[04:27] 只是邀请
[04:28] 但在酒精的微醺下
[04:30] 爱马还是妥协了
[04:31] 放下矜持
[04:32] 坦诚相见
[04:33] 这是爱马一直都期待
[04:35] 却不敢的事
[04:36] 德克斯不停地表达思念
[04:38] 说他也同样爱着彼此
[04:40] 可就在爱马
[04:41] 几乎要被冲昏头脑的时候
[04:44] 德克斯却突然改口了
[04:46] 作为情场高手
[04:52] 他太清楚
[04:53] 如何让对方心动了
[04:55] 只是他也深深地意识到
[04:56] 爱马不是那种
[04:58] 天亮就可以不联系的女人
[05:00] 要么认真对待
[05:01] 要么彻底伤害
[05:03] 只是两样
[05:03] 他都做不到
[05:05] 他收回的
[05:05] 不是刚才的那句话
[05:07] 而是差一点就交出去的真心
[05:10] 这一晚
[05:11] 他们打破了所有规矩
[05:12] 但却相安无事
[05:14] 到了93年
[05:16] 德克斯已经成了名声大噪的主持人
[05:19] 身边的美女患了悠患
[05:20] 酒精和掌声把她拖上了云端
[05:23] 虽然奢靡的生活让她迷失自我
[05:26] 但还是不忘在7月15日这天
[05:28] 给爱马打去了电话
[05:30] 可才含糊不清地说了几句
[05:32] 就被身后的人打断了
[05:34] 她握着话筒听着盲音
[05:36] 不知道她身边现在躺着的又是谁
[05:39] 她的人生正热闹
[05:41] 热闹到只是偶尔在烂醉时
[05:43] 才会响起还有一个电话
[05:45] 永远不会拒绝她
[05:47] 而她也一直没换号码
[05:49] 但也始终没等到
[05:50] 那句她想听到的话
[05:52] 爱马还在努力生活
[05:54] 德克斯还在拼命挥霍
[05:56] 挥霍到已经忘了
[05:58] 病重的母亲还在家里等着她
[06:00] 母亲在上边
[06:02] 她在等着你整晚
[06:03] 她在等着你等着你
[06:05] 好神
[06:07] 好神
[06:09] 你为什么这么浪费
[06:11] 我不是很热的
[06:14] 我不是很热的
[06:14] 我不是很热的
[06:15] 我不是很热的
[06:16] 我看我去
[06:18] 你为什么要去看我
[06:20] 等他上楼时才发现
[06:25] 母亲已经瘦得脱了下
[06:27] 曾经骄傲的金发也不复存在
[06:29] 但比起母亲的憔悴
[06:31] 他更担心的是自己儿子的眼里
[06:34] 已经没有了光
[06:35] 为了证明自己
[06:36] 德克斯将节目的录像放给母亲看
[06:39] 做作的表情
[06:40] 浮宽的尖叫
[06:41] 才不放到一半
[06:42] 就被母亲强行打断了
[06:44] 这不是他想看到的
[06:46] 自己的儿子
[06:47] 本应该成为一个体面的人
[06:49] 德克斯的成长让母亲大失所望
[06:52] 父亲将她赶了出去
[06:53] 他不希望妻子看到这副混蛋模样
[07:19] 他站在冷风中
[07:24] 疯狂地打给爱马
[07:25] 可电话拿头始终无人接听
[07:28] 但其实
[07:28] 准备出门的爱马听到了
[07:30] 以前他会接
[07:32] 会听他敷衍几句
[07:33] 然后在盲音里
[07:35] 把没出口的话咽回去
[07:36] 但这一次
[07:37] 他不想再咽了
[07:39] 你还在那里
[07:40] 我只记得你
[07:41] 你现在在热约
[07:43] 我太晚了
[07:46] 这一年
[07:57] 爱马接受了别人的约会邀请
[07:59] 他不帅
[08:00] 也不幽默
[08:01] 和德克斯比起来
[08:02] 总是差了一截
[08:03] 但有一件事
[08:05] 是德克斯做不到的
[08:06] 这个男人
[08:07] 永远不会让他等
[08:09] 他看爱马的眼神
[08:10] 总是小蜥蜴
[08:11] 像捧着一件溢碎的东西
[08:14] 他在那份卑微里
[08:15] 看见了曾经的自己
[08:17] 伊恩很真诚
[08:18] 给足了爱马安全感
[08:20] 他已经分不清
[08:21] 这到底是心动
[08:22] 还是感动
[08:23] 但无论如何
[08:24] 在这个大雨的夜里
[08:26] 他终于试图
[08:27] 学着放下
[08:28] 1995年爱马成为了一名教师
[08:32] 和艺人住在了一家
[08:58] 日子虽然不富裕
[09:00] 但却也一步一个脚印
[09:01] 他还是会看德克斯的节目
[09:04] 那个尖叫搞怪的男人
[09:05] 总能让他失神很久
[09:07] 这一年
[09:08] 德克斯的母亲走了
[09:09] 他的节目也被评为了烂片之王
[09:12] 他开始频繁地打给爱马
[09:14] 在清晨
[09:14] 在深夜
[09:15] 只是进时不同往日
[09:17] 他的语气变得漫不经心
[09:19] 关心的话被打磨的
[09:21] 就像对待普通朋友
[09:22] 那些爱意也都是压平了
[09:24] 才敢递出去
[09:25] 他不想暴露出其实自己还是在乎的
[09:29] 而他也不知道
[09:30] 每次过得电话后
[09:31] 爱马都会盯着电视
[09:33] 很久很久
[09:34] 专演就到了96年的7月15日
[09:38] 在德克斯频繁的邀请下
[09:40] 时隔三年
[09:41] 爱马终于答应赴约了
[09:43] 他依旧帅气
[09:44] 只是谈吐间少了些真诚
[09:46] 那么坐下来
[09:47] 就像两个陌生人
[09:48] 在面试彼此的生活
[09:50] 德克斯表示
[09:51] 自己依旧顺风顺水
[09:53] 好是接连不断
[09:54] 反观爱马的现状
[09:56] 却显得很平淡
[09:57] 他不断碰击着爱马的生活
[09:59] 试图证明自己
[10:00] 还有优越感
[10:02] 可当得知
[10:02] 爱马已经和男友同居时
[10:04] 他近开始
[10:06] 口不择言了
[10:07] 爱马已经心灰溢了
[10:08] 他无法面对心爱之人的恶语想象
[10:13] 这一刻
[10:14] 德克斯还没有意识到这个女人的爱她已经用完了
[10:19] 他不停地道歉希望爱马还能回来
[10:25] 但爱马转身的那一刻
[10:27] 德克斯竟误以为是自己又赢了
[10:29] 我爱你
[10:31] 爱马已经心灰溢了
[10:32] 他无法面对心爱之人的恶语想象
[10:35] 这一刻
[10:36] 德克斯还没有意识到这个女人的爱她已经用完了
[10:39] 他不停地道歉希望爱马还能回来
[10:42] 但爱马转身的那一刻
[10:44] 德克斯竟误以为是自己又赢了
[10:46] 爱是习惯喜欢是选择
[11:08] 爱了这个长不大的男孩八年
[11:10] 但现在他不想再折磨自己了
[11:13] 之后许多个7月15
[11:15] 两人都没有再联络
[11:17] 爱马喜欢上了游泳
[11:19] 投稿的收益也越来越多
[11:21] 只是常年窝在那个破旧的公寓
[11:23] 改高改到脖子都酸了
[11:25] 要是有张桌子能跟着他走
[11:27] 诶 还真有
[11:28] 王一严选任意桌堪称家具界的变形金刚
[11:31] 不管是站着办公还是摩沙发追剧
[11:34] 都能满足日常使用需求
[11:36] 坐着改高改累了
[11:37] 换个姿势
[11:38] 站着办公也毫无难度
[11:40] 从68到108公分的超大升降差
[11:43] 适合自己的高度随意调整
[11:45] 最觉得是王一严选任意桌
[11:47] 还能双面96度翻转
[11:49] 按上挡条放在床边
[11:51] 躺在床上看平板
[11:52] 就能与视线齐平
[11:53] 再也不用累到脖子
[11:55] 单手就能操作升剑的系统调节
[11:57] 省心省力
[11:58] 轻轻一拉拨片
[11:59] 手停桌就停
[12:00] 四话到我没事就想拨两下
[12:02] 还有工字型的碳钢桌腿
[12:04] 用料扎实
[12:05] 加长加快的支撑条
[12:06] 稳当的都能直接坐上去
[12:08] 安全不变形
[12:09] 万象滚轮四滑无卡顿
[12:11] 想在哪用就推到哪
[12:13] 甚至在厨房当个备菜桌都行
[12:15] 而且还有国标要求的脚锁
[12:17] 锁上后也不怕桌子打滑
[12:19] 不用时一折就收纳
[12:21] 不占空间
[12:22] 还可以90度无极悬停使用
[12:24] 喜欢做地毯上的有福了
[12:26] MAX款还送豆豆板挂小物件也很方便
[12:29] 预章桌子能涵盖办公学习
[12:32] 生活娱乐的各种使用
[12:34] 思路打开后
[12:35] 家里起码省了好几瓶
[12:36] 花点小钱就把心情捋顺了
[12:38] 还得是选对大品牌
[12:40] 有需要的小伙伴
[12:41] 可以到评论区置顶看看
[12:43] 这款网易严选任意桌
[12:46] 反观德克斯的人生正在急速下坠
[12:49] 节目被停播
[12:50] 曾经围着他的人
[12:51] 全都当倒是个笑话
[12:53] 为了继续维持体面
[12:55] 德克斯找了一个有钱的女友
[12:57] 但很多时候
[12:58] 只能像叫啪啪啪狗一样寄人了一下
[13:01] 艾玛接受了伊恩的求婚
[13:02] 但很快
[13:03] 两人就分开了
[13:04] 那些大学时写进日记的思念
[13:07] 被伊恩翻了出来
[13:08] 每一个字
[13:09] 都像刚写上去的一样滚烫
[13:11] 但看得心里发烈
[13:13] 为此
[13:14] 两人还大闯了一架
[13:15] 等平静后
[13:16] 两人终于得出了一个结论
[13:19] 直到2000年
[13:33] 许久未见的两人终于在同学的婚礼上再次相遇了
[13:38] 艾玛褪去了青色
[13:39] 举手头足间
[13:40] 透露着独特的魅力
[13:42] 隔着人群
[13:43] 两人偷偷看向彼此
[13:45] 像在拼命弥补那些不曾参与过的岁月
[13:48] 如今的德克斯已经开始变得油腻
[13:51] 反观远处的艾玛似乎正风光无限
[13:54] 趁着其他人都在狂欢
[13:56] 德克斯悄悄的来到了艾玛的身边
[14:02] 艾玛答应的太快了
[14:04] 快到自己都无法察觉
[14:06] 原来四年高速的新墙
[14:08] 仅被他一句话就可以轻易推倒
[14:11] 两人溜到了天台
[14:12] 霓虹灯亮成一片
[14:14] 就像他即将出版的新书一样璀璨
[14:17] 德克斯祝福着
[14:18] 比以往任何一次都要真诚
[14:21] 可当艾玛问起他的近况时
[14:23] 他却语塞着将婚礼请柬递了上来
[14:40] 艾玛接过请柬
[14:42] 手指在上面停了一下
[14:44] 他笑着
[14:45] 他很快心就沉了下去
[14:47] 艾玛总以为德克斯只是没办够
[14:50] 只是还没准备好
[14:51] 但现在他要停了
[14:53] 只是停在了别人那里
[14:55] 看他墙人泪水
[14:56] 德克斯也红了眼眶
[14:58] 他遗憾自己
[14:59] 明明可以拥有艾玛
[15:00] 却亲手将它推开了
[15:02] 他也遗憾自己等了十一年
