# Bilibili 直播转写
录制时间: 2026-05-07 10:12:13
========================================

[00:00] AI的万亿泡沫,一场注定撞墙的次贷式骗局。
[00:04] 大家好,今天我们要聊一个可能让很多人不舒服,但你必须知道的话题。
[00:11] 就在前几天,微软悄悄宣布,从2026年6月1日起,GitHub Copilot将全面转向按用量计费。
[00:19] 听起来只是定价策略的调整,对吧?
[00:22] 但如果你读懂了背后的信号,你会发现,这可能是整个生成式AI行业第一次公开承认,我们补贴不起你了。
[00:32] 今天这期视频,我们不聊技术突破,不谈智能体革命,我们只算一笔账。
[00:38] 一笔被媒体,资本和叙事刻意掩盖的,关于钱,关于债务,关于这场万一泡沫到底还能撑多久的残酷的账。
[00:47] 第一部分,订阅制的温柔陷阱。
[00:51] 先从一个你我都熟悉的场景说起。
[00:54] 你每月付20美元,订阅了Trad,ChatGPT或者Copilot。
[00:59] 你觉得自己在用无限的AI助手帮你写代码,写文案,做分析。
[01:05] 但后台发生了什么?
[01:07] 你每一次提问,每一次让AI在想想,每一次让它调试一段代码,都在燃烧真实的按Token计费的算力成本。
[01:16] 微软,OpenAI,Enthropic,这些公司过去几年一直在做一件事,用你的20美元订阅费去支付你可能烧掉80美元甚至120美元的Token成本。
[01:28] 这不是补贴,这是倒贴。
[01:31] 为什么?
[01:32] 因为他们赌你会习惯,赌你会依赖。
[01:34] 赌当你发现离开AI就活不下去的时候,他们在悄悄把价格调回来,你也不会走。
[01:41] 但问题在于,这个赌注的底层逻辑从第一天起就是错的。
[01:47] 传统Source软件,比如Google Docs,成本是稳定的。
[01:51] 一个用户多用一点,服务器成本几乎可以忽略不计。
[01:56] 但AI不一样。
[01:58] AI的编辑成本是剧烈波动的。
[02:00] 一个用户可能只是偶尔问个问题,另一个用户可能让AI重构整个代码库,跑几十个Agent,迭代上百轮。
[02:10] 前者成本几美分,后者成本几十美元。
[02:14] 用固定月费去覆盖这种波动,就像开一家餐厅,收你20美元自助餐费,然后告诉你随便吃,龙虾牛排随便点,但后厨的采购成本,龙虾是200美元一致。
[02:27] 你觉得这家餐厅能开多久?
[02:30] 第二部分,数据中心的残酷数学。
[02:34] 好,如果说用户端的补贴还能靠融资撑着,那我们再看看基础设施段。
[02:40] 你有没有想过,那些支撑智能革命的AI数据中心到底是怎么算账的?
[02:47] 这里有一组数字,请你记好。
[02:50] 一个100兆瓦,100兆瓦的AI数据中心,前期投入大约是44亿美元。
[02:57] 其中30多亿花在NVIDIA的GPU上,剩下的用在电力、冷却、土地和运位。
[03:04] 这44亿美元需要6年折旧。
[03:07] 也就是说,每年光设备折旧就要吃掉5.2亿美元。
[03:12] 再加上电费、托管费、人力、维护,一个100兆瓦数据中心,每年固定成本接近8.4亿美元。
[03:21] 那它能赚多少钱?
[03:23] 按行业估算,100兆瓦满租的情况下,年收入大约是10.6亿美元。
[03:29] 听起来不错。
[03:31] 毛利率16%。
[03:32] 但请注意三个前提。
[03:35] 第一,你必须100%满租,不能有一天空置。
[03:40] 第二,你的租户必须按时付款,不能拖欠。
[03:44] 第三,你的GPU必须在6年内不被新一代芯片淘汰。
[03:49] 只要有一个条件不满足,这个模型就会瞬间从威力变成巨亏。
[03:55] 而现实是什么?
[03:57] 现实是,很多数据中心建好了,但租户还没到位。
[04:01] 现实是,像OpenAI这样的大客户,自己都在亏钱,能不能持续付款都是问题。
[04:07] 现实是,NVIDIA每年发布新芯片,你花44亿美元买的设备,三年后就可能变成上一代产品。
[04:14] 这哪里是基建投资?
[04:16] 这分明是在赌桌上压住。
[04:19] 第三部分,OpenAI与Oracle的死亡契约。
[04:23] 说到这,我们必须聊聊这场豪赌里最惊心动魄的一对组合,OpenAI和Oracle。
[04:30] Oracle,这家曾经靠数据库软件赚钱的老牌巨头,现在把几乎全部身家压在了一个叫Stargate的数据中心项目上。
[04:40] 这个项目有多大?
[04:41] 规划总容量1.2几瓦,1.2千兆瓦,总投资超过500亿美元。
[04:49] 其中仅给OpenAI预留的算力,合同价值就高达750亿美元。
[04:54] 听起来很宏伟,对吧?
[04:57] 但请你算一笔更残酷的账。
[04:59] 为了真正履行这些算力合同,OpenAI必须在2030年之前,实现8520亿美元的收入或融资。
[05:08] 8520亿是什么概念?
