# Bilibili 直播转写
录制时间: 2026-05-06 17:34:11
========================================

[00:00] 一条鱼被冻成硬邦邦的冰块
[00:02] 看起来完全死透了
[00:03] 可当你慢慢去把它解冻
[00:05] 放回水里后
[00:06] 它竟然又甩甩尾巴
[00:07] 活蹦乱跳地游了起来
[00:09] 这看起来简直像是魔法一样
[00:11] 但你知道吗
[00:12] 其实早在几百年前的英国
[00:13] 就有人做过同样的实验
[00:15] 他的这一发现
[00:16] 也瞬间让人们睁大了眼睛
[00:17] 丁文难道真的能够暂停生命吗
[00:19] 从那一刻起
[00:20] 人类对于冷冻复活的想象
[00:22] 就像被点燃一样
[00:23] 科学家们开始疯狂地思考
[00:25] 如果连小鱼都能够冻住再醒过来
[00:27] 那人呢
[00:28] 能不能把整个人体冷冻起来
[00:30] 等到未来的科技足够强大
[00:32] 再把它们唤醒
[00:33] 然而
[00:33] 这个听起来神奇到
[00:35] 让人惊掉下位的想法
[00:36] 一旦真的用在了人身上
[00:37] 就立刻掀起了一场巨大的争议
[00:39] 有人觉得
[00:40] 这是给绝症病人的最后一线希望
[00:42] 也有人狠狠地批评它是伪科学
[00:45] 昂贵的科幻骗局
[00:46] 那么人体冷冻技术背后的真相
[00:48] 究竟是什么呢
[00:49] 那在视频开始之前
[00:50] 感谢一下转转的崔根
[00:51] 最近突然想感受一下折叠屏
[00:53] 所以我又发现
[00:54] 转转上的折叠屏其实是非常划算的
[00:56] 像华为扩折叠
[00:57] Pure X只要4000多
[00:59] 放以前最少也得8000多吧
[01:01] 同样的价格买全新大折叠
[01:02] 根本就选不到这么好的
[01:04] 而且最近转转的补贴还特别猛
[01:06] 大家去搜一下就知道了
[01:07] 很多高端手机现在都跌成白菜价了
[01:09] 而且转转上的其他电子产品也挺划算的
[01:12] 4000左右就能拿下iPad Pro
[01:14] 2500多也能买个MacBook Air
[01:16] 反正我以后买折叠屏也就认真转转了
[01:21] 金苏奥奇于1989年
[01:27] 出生于密苏里州的哥伦比亚市
[01:29] 他在特鲁曼州大学读书
[01:31] 主修心理学和语言学
[01:32] 还俯修了认知科学
[01:34] 在大学里
[01:35] 他最感兴趣的就是大脑是怎么工作的
[01:37] 尤其是意识 记忆和学习这些话题
[01:39] 他原本计划毕业后继续深造
[01:41] 做神经科学的研究
[01:43] 梦想着有一天能够帮助人们
[01:44] 更好地理解自己的头脑
[01:46] 然而命运却突然给他重重的一击
[01:48] 2011年3月
[01:49] 金在学校里面突发癫痫
[01:51] 被紧急送往了医院
[01:52] 医生检查后发现
[01:53] 他的脑子里面长了一个非常凶险的肿瘤
[01:56] 叫做胶质母细胞瘤
[01:58] 这种癌症生长的速度特别快
[01:59] 治疗起来也非常困难
[02:01] 尽管他做了手术 化疗和放疗
[02:03] 但肿瘤还是反复出现
[02:04] 到了2012年下半年
[02:06] 医生告诉他
[02:07] 可能只剩下几个月的时间了
[02:08] 那一年今才22岁
[02:10] 真和男友一起规划未来
[02:12] 他们想一起旅行 结婚 生孩子
[02:14] 生活里还有他最爱的猫咪
[02:16] 一切都才刚刚开始
[02:17] 而面对即将到来的死亡
[02:19] 竟没有选择逃避
[02:20] 也没有陷入绝望
[02:21] 他开始冷静地思考
[02:23] 自己真正想要什么
[02:24] 他觉得自己不相信来世
[02:25] 也不愿意接受传统的葬礼或火花
[02:28] 他在大学课堂上
[02:29] 读过一本关于未来科技的书
[02:31] 特别是雷·库兹维尔提出的起点理论
[02:33] 在那里说
[02:34] 人工智能会在2045年左右超越人类
[02:36] 意识也许能够被上传到
[02:38] 新的电脑或者身体里
[02:39] 而人体冷冻保存技术
[02:41] 正好给了他一个实际的选择
[02:43] 那就是把身体暂时停住
[02:44] 等未来医学进步了
[02:46] 再试着复活
[02:47] 于是他在Ready的论坛上发帖
[02:49] 诚实地告诉大家自己的情况
[02:51] 他说
[02:51] 我不想就这么腐烂掉
[02:53] 或者被烧成灰
[02:54] 我想给未来一个机会
[02:55] 这个帖子很快就引起了很多人的注意
[02:57] 有人觉得他太过天真
[02:58] 有人却被他的勇气打动
[03:00] 在通过了众筹和一些组织的帮助后
[03:02] 他最终筹到了足够的钱
[03:04] 他的男友一直陪在他身边
[03:06] 支持他的决定
[03:07] 在2012年底
[03:08] 金带着虚弱的身体
[03:10] 搬到了亚利桑那州的
[03:11] Arco基金会附近准备好随时接受冷冻
[03:13] 2013年1月17日清晨
[03:15] 金在临终关怀机构停止了进食和饮水
[03:18] 平静地离开了
[03:19] 在宣告死亡后
[03:20] Arco的团队立刻行动了起来
[03:22] 他们先稳定住他的身体
[03:23] 防止大脑进一步损伤
[03:25] 然后把他送到了总部
[03:26] 进行专员的灌注和冷却
[03:28] 最后他的头部被小心地保存在亚弹罐里
[03:30] 成为了Arco的第114位患者
[03:33] 他的男友后来在公开声明中说
[03:35] 希望未来的科技能够让金有机会重新睁开眼睛
[03:38] 那么说到这里估计有人要问了
[03:40] 人体冷冻技术真实存在吗
[03:42] 冷冻后的人真的可以在解冻后复活吗
[03:44] 那要想理解金为什么要做出这样的选择
[03:54] 就得先了解
[03:55] 人体冷冻技术到底是怎么一步步发展起来的
[03:58] 这个技术的历史其实比很多人想象的要长得多
[04:00] 它不是突然出现的科幻想法
[04:02] 而是从几百年前的科学探索慢慢走过来的
[04:05] 人体冷冻的想法最早可以追溯到很古老的时代
[04:09] 古术的人们就发现
[04:10] 有些动物在冬天被冻得硬邦邦的
[04:12] 而春天却能够活过来
[04:14] 这让他们开始幻想
[04:15] 人是不是也能够被冻住
[04:17] 以后再醒过来呢
[04:18] 而真正有科学意义的尝试
[04:20] 要从17世纪说起
[04:21] 英国科学家罗伯特·波伊尔做过实验
[04:23] 他把小鱼和小青蛙放在冰雪里
[04:25] 发现这些动物在冻胶后能够复苏
[04:28] 这件事情让人们第一次认真思考
[04:30] 低温也许能够暂时暂停生命
[04:32] 到了18世纪和19世纪
[04:34] 欧洲的医生和科学家开始用低温来保存器官和组织
[04:37] 他们慢慢发现
[04:38] 极低的温度可以让生物材料保存更长的时间
[04:41] 但那个时候技术还很原始
[04:43] 人体冷冻还只是个遥远的梦想
[04:45] 真正让这个想法往前迈出一大步的是20世纪中期
[04:48] 1949年
[04:50] 英国生物学家发现了
[04:51] 干油可以当做冷冻保护剂
[04:53] 用来保护精子在冷冻后不被破坏
[04:55] 这场发现为后来的冷冻技术打开了大门
[04:58] 而把人体冷冻和永生真正联系在一起的人
[05:01] 是一个叫做罗伯特·艾廷格的美国物理老师
[05:04] 他在医院养伤时
[05:05] 读了一些关于低温的文章和科幻小说
[05:07] 突然产生了一个大胆的想法
[05:09] 如果未来医学足够先进
[05:10] 能够修复冷冻带来的损伤和原来的疾病
[05:13] 那为什么不把刚刚死去的人冷冻起来
[05:16] 当做去未来的单程票呢
[05:18] 1962年
[05:18] 他写了一本叫做《永生的前景》的书
[05:21] 详细解释了这个概念
[05:22] 这本书已经出版
[05:23] 就在很多人心里种下的种子
[05:25] 艾廷格也被称为冷冻学之父
[05:27] 他自己后来在2001年去世后
[05:29] 也选择了被冷冻保存
[05:31] 1960年代
[05:32] 人体冷冻技术正式开始起步
[05:34] 1965年
[05:35] Cryonics这个词被创造出来
[05:37] 专门指以人体未来复活为目标的冷冻技术
[05:40] 1966年
[05:41] 加州成立一个叫做Cryonics Society of California的组织
[05:44] 一群对这个想法感兴趣的人开始认真筹备
[05:47] 1967年1月12日
[05:48] 发生了一件具有里程碑意义的事
[05:51] 一位73岁的退休心理学教授
[05:52] 詹姆斯·贝德福德
[05:54] 成为了世界上第一个真正接受人体冷冻保存的人
[05:57] 贝德福德患有肾癌
[05:58] 已经转移到了肺部
[05:59] 生命走到了尽头
[06:01] 他读过艾挺格的书
[06:02] 对冷冻技术产生了兴趣
[06:04] 临终前
[06:04] 他联系了那个刚成立不久的组织
[06:06] 表示愿意成为第一个尝试者
[06:08] 1967年1月12日
[06:09] 他在加州格伦戴尔的一处民宅里去世
[06:12] 当时的条件非常简陋
[06:13] 他的护士甚至要跑到街坊邻居家里
[06:15] 借冰块来给他降温
[06:16] 在他死亡后不久
[06:18] 团队立刻行动了起来
[06:19] 他们用人工呼吸和心脏按压
[06:21] 维持他的血液循环
[06:23] 防止大脑缺氧太久
[06:24] 然后注入了一种早期的保护剂
[06:26] 那就是15%的二甲基
[06:28] 亚风和灵格式溶液
[06:29] 来尝试保护组织
[06:30] 整个过程在死亡后
[06:32] 大约两个小时内完成
[06:33] 比起现在的专业操作
[06:34] 当时的技术还很原始
[06:36] 没有现在的玻璃化方法
[06:37] 脑部保存效果也十分有限
[06:39] 但尽管如此
[06:40] 贝德福德的遗体还是被成功冷却
[06:42] 在经过了几轮运转保存后
[06:44] 1982年
[06:45] 他的身体最终交给
[06:46] Erko声明延长基金会
[06:48] 一直保存到现在
[06:49] 1991年
[06:50] Erko团队在给他换储存容器时检查过
[06:52] 发现他的外部状况
[06:53] 看起来还比较完整
[06:54] Erko至今把他称为
[06:56] 最常存活的人类
[06:57] 因为从1967年到现在
[06:59] 他已经在夜旦里面活了将近60年
[07:01] 虽然当时的冷冻方法
[07:02] 远不如现在来的先进
[07:04] 但贝德福德的案例
[07:05] 像是一个勇敢的开端
[07:06] 证明了人体冷冻
[07:07] 在操作上是可行的
[07:09] 也激励了很多后来人
[07:10] 他的故事被写进书里
[07:11] 甚至还有人把每年的这一天
[07:13] 叫做贝德福德日
[07:14] 来纪念他
[07:15] 不过早期的时间并不顺利
[07:17] 1970年代末
[07:18] 就发生了一起
[07:19] 著名的Chatsworth事件
[07:21] 1970年代初
[07:22] 刚刚提到的
[07:23] Cryonic Society of California
[07:24] 也就是加州冷冻协会
[07:26] 有一个叫做
[07:27] 罗伯特·纳尔逊的人领导
[07:28] 他原本是个电视修理工
[07:30] 对冷冻技术充满热情
[07:31] 曾参与过贝德福德的冷冻
[07:33] 在当时
[07:34] 加州冷冻协会
[07:35] 把9句已经冷冻保存的患者
[07:37] 包括成人儿童
[07:38] 甚至有一个7岁左右的小女孩
[07:40] 存放在洛杉矶西北郊的
[07:42] Chatsworth的项目纪念公园公墓
[07:44] 一个地下墓穴里
[07:45] 这些人的尸体
[07:46] 被放在液弹储存容器中
[07:47] 当时的技术和资金都很简陋
[07:49] 直到1979年左右
[07:50] 问题爆发了
